sector,quarter,step,predicted_techstock
AI Campus,2014-12-01,1,39.87
AI Campus,2015-03-01,2,35.38
AI Campus,2015-06-01,3,40.51
AI Campus,2015-09-01,4,39.94
AI Intersections,2014-12-01,1,42.87
AI Intersections,2015-03-01,2,45.23
AI Intersections,2015-06-01,3,50.2
AI Intersections,2015-09-01,4,50.21
Autonomous Vehicles,2014-12-01,1,45.07
Autonomous Vehicles,2015-03-01,2,46.48
Autonomous Vehicles,2015-06-01,3,50.58
Autonomous Vehicles,2015-09-01,4,50.64
Data Center,2014-12-01,1,41.06
Data Center,2015-03-01,2,43.94
Data Center,2015-06-01,3,47.26
Data Center,2015-09-01,4,47.44
Robotics,2014-12-01,1,30.43
Robotics,2015-03-01,2,32.98
Robotics,2015-06-01,3,29.69
Robotics,2015-09-01,4,30.07
Semiconductor Plant,2014-12-01,1,43.78
Semiconductor Plant,2015-03-01,2,42.49
Semiconductor Plant,2015-06-01,3,43.75
Semiconductor Plant,2015-09-01,4,43.04
